['Iris-setosa', 'Iris-versicolor', 'Iris-virginica']
MAKE TREE: 
train data on this node: 
['sepallength', 'sepalwidth', 'petallength', 'petalwidth', 'class']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['4-5', '>2', '3-3.5', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['4-5', '1.5-2', '3-3.5', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3-3.5', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['4-5', '>2', '3-3.5', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '2.5-3', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['4-5', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['5-6', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
 
FIND MOST INFORMATIVE FEATURE: 
 

CALC INFO GAIN: 
Feature Name:sepallength
Train Data: 
['sepallength', 'sepalwidth', 'petallength', 'petalwidth', 'class']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['5-6', '>2', '2-2.5', '1-2', 'Iris-setosa']
['4-5', '>2', '2-2.5', '1-2', 'Iris-setosa']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['4-5', '>2', '3-3.5', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['4-5', '1.5-2', '3-3.5', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3-3.5', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '3.5-4', '1-2', 'Iris-versicolor']
['4-5', '>2', '3-3.5', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '1-2', 'Iris-versicolor']
['5-6', '>2', '2.5-3', '1-2', 'Iris-versicolor']
['5-6', '>2', '>4', '1-2', 'Iris-versicolor']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['4-5', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['5-6', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['>7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['5-6', '>2', '>4', '1-2', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '2-3', 'Iris-virginica']
['>7', '>2', '>4', '1-2', 'Iris-virginica']
['6-7', '>2', '>4', '1-2', 'Iris-virginica']
